timestamp,open,high,low,close,volume,support,resistance
2023-02-20,24.83,27.12,24.11,26.26,10266239.07,24.11,27.12
2023-02-21,26.26,26.61,24.5,24.98,6724448.02,24.11,27.12
2023-02-22,24.98,25.24,23.21,24.16,7174305.66,23.21,27.12
2023-02-23,24.16,24.69,23.6,23.91,4390966.09,23.21,27.12
2023-02-24,23.91,24.13,22.46,23.07,4868888.31,22.46,27.12
2023-02-25,23.07,23.33,21.41,22.37,4541250.05,21.41,27.12
2023-02-26,22.37,23.53,22.21,23.25,2817875.05,21.41,27.12
2023-02-27,23.25,23.41,22.32,22.68,3670697.58,21.41,27.12
2023-02-28,22.68,22.75,21.75,21.89,2291715.21,21.41,27.12
2023-03-01,21.88,22.91,21.65,22.51,2445602.61,21.41,27.12
2023-03-02,22.5,22.65,21.67,22.0,2231193.36,21.41,27.12
2023-03-03,22.0,22.02,20.34,21.42,3635280.89,20.34,27.12
2023-03-04,21.42,21.62,20.2,20.98,1754082.61,20.2,27.12
2023-03-05,20.98,21.72,20.84,20.97,1733301.96,20.2,27.12
2023-03-06,20.98,21.19,20.47,20.63,2216419.88,20.2,27.12
2023-03-07,20.62,20.95,19.71,20.25,3104831.99,19.71,27.12
2023-03-08,20.25,20.39,18.1,18.41,5826803.53,18.1,27.12
2023-03-09,18.41,18.78,16.69,17.33,7832548.96,16.69,27.12
2023-03-10,17.34,18.36,16.0,18.17,9520202.65,16.0,27.12
2023-03-11,18.17,18.89,16.94,18.07,6593106.41,16.0,27.12
2023-03-12,18.07,20.53,17.71,20.2,6555846.63,16.0,27.12
2023-03-13,20.19,21.47,18.87,20.4,10652102.31,16.0,27.12
2023-03-14,20.4,22.12,19.75,20.86,9812864.39,16.0,27.12
2023-03-15,20.86,21.46,18.7,19.24,7661168.72,16.0,27.12
2023-03-16,19.25,19.9,18.88,19.67,4381882.68,16.0,27.12
2023-03-17,19.67,21.69,19.42,21.6,5853746.15,16.0,27.12
2023-03-18,21.6,22.94,21.05,21.2,7417972.25,16.0,27.12
2023-03-19,21.2,22.43,21.19,21.86,4290990.03,16.0,27.12
2023-03-20,21.86,23.91,21.35,22.13,10056429.13,16.0,27.12
2023-03-21,22.13,23.33,21.51,22.53,6547867.38,16.0,27.12
2023-03-22,22.52,23.09,20.93,21.42,8602292.98,16.0,27.12
2023-03-23,21.41,22.95,21.08,22.16,5049411.36,16.0,27.12
2023-03-24,22.16,22.27,20.26,20.66,4995998.21,16.0,27.12
2023-03-25,20.66,20.98,20.09,20.41,2338133.56,16.0,27.12
2023-03-26,20.4,21.14,20.29,20.94,1848599.09,16.0,27.12
2023-03-27,20.94,20.99,19.33,19.91,3556384.38,16.0,27.12
2023-03-28,19.91,20.88,19.6,20.45,3316462.41,16.0,27.12
2023-03-29,20.45,21.56,20.43,21.1,3377523.28,16.0,27.12
2023-03-30,21.1,21.67,20.16,20.55,4349577.78,16.0,27.12
2023-03-31,20.55,21.49,20.04,21.16,3228391.27,16.0,27.12
2023-04-01,21.15,21.34,20.74,21.08,1824463.55,16.0,27.12
2023-04-02,21.07,21.3,20.23,20.52,1822345.58,16.0,27.12
2023-04-03,20.52,20.99,19.94,20.45,3984085.57,16.0,27.12
2023-04-04,20.45,21.26,20.28,20.92,2514863.89,16.0,27.12
2023-04-05,20.91,21.34,20.58,20.97,2603072.26,16.0,27.12
2023-04-06,20.96,20.99,20.43,20.62,1674280.5,16.0,27.12
2023-04-07,20.62,20.78,20.22,20.44,1220862.47,16.0,27.12
2023-04-08,20.44,20.74,19.85,20.04,1608993.48,16.0,27.12
2023-04-09,20.04,20.44,19.87,20.28,1051608.84,16.0,27.12
2023-04-10,20.29,20.95,20.08,20.89,1615129.64,16.0,27.12
2023-04-11,20.89,23.68,20.82,22.98,8297859.99,16.0,26.61
2023-04-12,22.99,24.48,22.29,23.8,10374263.08,16.0,25.24
2023-04-13,23.81,25.3,23.63,24.43,6063385.78,16.0,25.3
2023-04-14,24.43,25.49,23.73,24.71,6432126.81,16.0,25.49
2023-04-15,24.72,24.8,23.81,24.05,2861426.92,16.0,25.49
2023-04-16,24.05,25.49,23.81,25.34,3471417.67,16.0,25.49
2023-04-17,25.34,26.0,24.28,24.58,5631537.5,16.0,26.0
2023-04-18,24.57,25.44,24.0,24.82,3477504.6,16.0,26.0
2023-04-19,24.82,24.98,21.71,22.66,6650547.99,16.0,26.0
2023-04-20,22.66,23.18,21.59,22.2,5486212.56,16.0,26.0
2023-04-21,22.19,22.41,21.0,21.25,4194496.37,16.0,26.0
2023-04-22,21.26,21.99,21.05,21.79,1831214.09,16.0,26.0
2023-04-23,21.79,22.25,20.91,21.47,2754139.65,16.0,26.0
2023-04-24,21.47,22.02,21.0,21.38,3120614.16,16.0,26.0
2023-04-25,21.39,21.97,20.73,21.93,3314599.54,16.0,26.0
2023-04-26,21.94,22.97,20.36,21.28,6657868.13,16.0,26.0
2023-04-27,21.28,22.52,21.18,22.33,4703115.03,16.0,26.0
2023-04-28,22.34,23.5,22.16,23.34,4422324.38,16.0,26.0
2023-04-29,23.34,23.89,22.9,23.19,3194699.55,16.94,26.0
2023-04-30,23.18,23.99,22.69,22.74,3110943.4,17.71,26.0
2023-05-01,22.73,22.88,21.54,21.96,3758634.21,18.7,26.0
2023-05-02,21.95,22.38,21.75,22.25,2566813.09,18.7,26.0
2023-05-03,22.25,22.3,21.23,22.24,4181975.28,18.7,26.0
2023-05-04,22.24,22.49,21.61,21.74,2529635.56,18.88,26.0
2023-05-05,21.74,23.07,21.56,22.82,3636404.07,19.33,26.0
2023-05-06,22.82,23.23,21.56,21.91,2849745.66,19.33,26.0
2023-05-07,21.91,22.78,21.63,21.66,2954384.97,19.33,26.0
2023-05-08,21.65,21.81,20.0,20.62,5254424.55,19.33,26.0
2023-05-09,20.63,21.0,20.4,20.65,2375473.6,19.33,26.0
2023-05-10,20.66,21.31,19.74,20.91,5057170.3,19.33,26.0
2023-05-11,20.92,20.93,19.69,20.17,3721715.1,19.33,26.0
2023-05-12,20.17,20.95,19.8,20.9,3076452.18,19.33,26.0
2023-05-13,20.91,21.29,20.77,20.84,1835421.61,19.33,26.0
2023-05-14,20.83,21.28,20.62,20.93,1553375.08,19.33,26.0
2023-05-15,20.93,21.52,20.6,20.99,2858317.83,19.33,26.0
2023-05-16,20.98,21.13,20.43,20.67,2722401.44,19.6,26.0
2023-05-17,20.68,21.23,20.42,21.06,2614414.01,19.69,26.0
2023-05-18,21.06,21.09,20.07,20.34,2624370.52,19.69,26.0
2023-05-19,20.35,20.59,20.21,20.36,1214543.49,19.69,26.0
2023-05-20,20.35,20.37,20.08,20.28,856718.98,19.69,26.0
2023-05-21,20.28,20.39,19.33,19.61,1976334.78,19.33,26.0
2023-05-22,19.61,20.03,19.28,19.53,2054927.32,19.28,26.0
2023-05-23,19.52,20.18,19.42,20.02,2466255.33,19.28,26.0
2023-05-24,20.02,20.07,18.66,19.22,2780601.57,18.66,26.0
2023-05-25,19.22,19.58,18.77,19.25,1692742.89,18.66,26.0
2023-05-26,19.25,19.56,19.08,19.35,1034272.52,18.66,26.0
2023-05-27,19.35,20.54,19.33,20.43,1565995.03,18.66,26.0
2023-05-28,20.42,21.19,20.29,20.81,2874459.57,18.66,26.0
2023-05-29,20.81,20.98,20.26,20.57,2222352.38,18.66,26.0
2023-05-30,20.57,21.4,20.46,21.25,3192653.91,18.66,26.0
2023-05-31,21.25,21.33,20.37,20.81,2050625.96,18.66,26.0
2023-06-01,20.82,20.98,20.41,20.49,1732297.47,18.66,26.0
2023-06-02,20.49,21.37,20.3,21.26,2068166.11,18.66,26.0
2023-06-03,21.26,21.35,20.95,21.19,1130915.88,18.66,26.0
2023-06-04,21.19,22.3,21.03,21.82,2800007.16,18.66,26.0
2023-06-05,21.83,22.06,19.03,20.0,6215040.24,18.66,26.0
2023-06-06,20.01,20.7,19.23,20.38,4383534.14,18.66,25.44
2023-06-07,20.38,20.53,18.5,18.64,3842270.95,18.5,24.98
2023-06-08,18.64,19.11,18.23,18.89,2669714.01,18.23,23.99
2023-06-09,18.88,19.37,17.11,17.4,4755455.49,17.11,23.99
2023-06-10,17.4,17.43,12.8,15.61,17211734.83,12.8,23.99
2023-06-11,15.61,16.18,15.11,15.55,6064017.28,12.8,23.99
2023-06-12,15.55,15.69,14.74,15.19,5195357.99,12.8,23.99
2023-06-13,15.19,16.0,14.76,15.04,4814274.27,12.8,23.99
2023-06-14,15.03,15.37,14.06,14.48,3978891.53,12.8,23.99
2023-06-15,14.49,15.08,14.18,14.77,4700648.85,12.8,23.99
2023-06-16,14.78,15.47,14.38,15.31,2809890.09,12.8,23.99
2023-06-17,15.32,16.12,15.16,15.64,2500321.4,12.8,23.99
2023-06-18,15.65,15.84,15.28,15.45,1603688.44,12.8,23.99
2023-06-19,15.45,16.14,15.34,16.1,1890318.27,12.8,23.23
2023-06-20,16.1,16.69,15.73,16.64,3005581.72,12.8,23.23
2023-06-21,16.65,17.4,16.54,17.23,4146918.99,12.8,23.23
2023-06-22,17.23,17.75,16.57,16.62,3547312.43,12.8,23.23
2023-06-23,16.62,17.53,16.16,17.13,4851596.52,12.8,23.23
2023-06-24,17.14,17.53,16.37,16.64,2908701.89,12.8,23.23
2023-06-25,16.64,17.38,16.57,16.96,2723041.25,12.8,22.78
2023-06-26,16.96,17.12,15.89,16.27,3056592.4,12.8,22.3
2023-06-27,16.27,16.93,16.13,16.63,2951107.45,12.8,22.3
2023-06-28,16.63,16.65,15.6,15.97,4040252.29,12.8,22.3
2023-06-29,15.98,18.28,15.87,17.99,7948251.73,12.8,22.3
2023-06-30,18.0,20.03,17.01,18.86,11454016.49,12.8,22.3
2023-07-01,18.85,19.0,17.9,18.7,3515091.93,12.8,22.3
2023-07-02,18.7,19.74,18.53,19.45,4872775.08,12.8,22.3
2023-07-03,19.46,19.66,18.87,19.26,3065186.84,12.8,22.3
2023-07-04,19.25,19.94,19.06,19.13,3096292.18,12.8,22.3
2023-07-05,19.14,19.53,18.32,19.0,2415908.51,12.8,22.3
2023-07-06,18.99,21.0,18.82,19.61,9598016.99,12.8,22.3
2023-07-07,19.61,21.9,19.26,21.5,9794096.48,12.8,22.3
2023-07-08,21.51,22.5,21.32,21.81,6473021.26,12.8,22.5
2023-07-09,21.82,22.38,20.99,21.32,3867361.76,12.8,22.5
2023-07-10,21.32,21.81,20.47,21.3,5671089.94,12.8,22.5
2023-07-11,21.3,22.37,21.2,22.07,4616810.71,12.8,22.5
2023-07-12,22.06,22.8,21.74,21.94,6086113.95,12.8,22.8
2023-07-13,21.93,26.82,21.42,26.01,16102139.02,12.8,26.82
2023-07-14,26.01,32.13,25.23,26.67,19571913.81,12.8,32.13
2023-07-15,26.67,29.12,26.45,27.46,11042658.65,12.8,32.13
2023-07-16,27.47,28.7,26.46,27.42,6708916.61,12.8,32.13
